"","date","MMM","ABT","AMD","AET","AFL","APD","ALK","LNT","MO","AEP","AXP","AIG","AME","AMGN","ADI","ANDV","AON","AOS","APA","AAPL","AMAT","ADM","ARNC","AJG","T","ADSK","ADP","AVY","BLL","BAC","BK","BAX","BBT","BDX","BBY","HRB","BA","BMY","CA","CPB","CAH","CAT","CNP","CTL","CVX","CB","CHD","CI","CINF","CTAS","C","CLX","CMS","KO","CL","CMCSA","CMA","CAG","COP","ED","COO","GLW","CSX","CMI","CVS","DHR","DE","DVN","D","DOV","DWDP","DTE","DRE","DUK","DXC","ETN","ECL","EIX","EMR","ETR","EQT","EFX","ES","EXC","EXPD","XOM","FRT","FDX","FITB","FLS","FMC","FL","F","BEN","GD","GE","GIS","GPC","GT","GWW","HAL","HRS","HAS","HCP","HP","HSY","HES","HD","HON","HRL","HST","HPQ","HUM","HBAN","ITW","IR","INTC","IBM","IP","IPG","IFF","JEC","JBHT","JNJ","JCI","JPM","KSU","K","KMB","KLAC","KR","LB","LRCX","LEG","LEN","LUK","LLY","LNC","LMT","L","LOW","MTB","MRO","MMC","MAS","MAT","MKC","MCD","MDT","MRK","MU","MSFT","TAP","MNST","MSI","MYL","NWL","NEM","NEE","NKE","NI","NBL","JWN","NSC","NTRS","NOC","NUE","OXY","OMC","OKE","ORCL","PCAR","PH","PAYX","PNR","PEP","PKI","PFE","PCG","PNW","PG","PGR","PEG","PSA","PHM","RTN","ROK","ROST","SLB","SHW","SWKS","SNA","SO","LUV","SPGI","SWK","SYK","SYY","TROW","TGT","TXN","TXT","TMK","TSS","TRV","TSN","USB","UNP","UNH","UTX","UHS","VFC","VLO","VAR","VZ","VNO","VMC","WMT","WBA","DIS","WEC","WFC","WELL","WDC","WY","WHR","WMB","XEL","ZION"
"1",1985-01-02,1.023727,0.024218,14.5,2.066095,0.012887,1.190723,2.594217,0.248333,0.009888,2.750525,0.764696,42.501839,0.024464,0.084692,2.032039,3.839501,0.926061,3.4e-05,1.896227,0.02256,0.16193,1.271433,5.126772,0.391016,0.295573,NA,0.428488,2.502814,0.000506,0.359358,0.037453,0.336083,0.801918,0.500682,NA,0.025805,3.045818,0.345269,0.428736,0.848104,0.636377,0.48057,0.262356,0.243276,0.336868,0.995485,0.008574,0.009574,0.474313,0.709435,15.132902,0.35872,1.851393,0.046915,0.011277,0.192324,0.715614,0.477594,0.505321,1.769217,23.030884,0.311293,0.004656,0.304275,0.37715,0.078484,0.37903,NA,0.426543,1.543147,0.56889,1.927705,NA,2.031426,0.474425,0.060642,0.159086,1.894008,0.631936,3.302589,0.245461,0.375598,2.884832,0.370236,0.070179,0.204809,2.186435,7.733389,0.180909,0.291843,0.506134,4.195465,0.008267,0.012311,0.281849,0.015444,0.041847,2.640444,5.393043,2.896742,0.922605,0.645767,1.721056,NA,1.05626,0.541779,2.974876,0.219214,1.182561,0.000526,0.950746,0.138015,3.302858,0.891656,0.297291,0.088805,0.295496,4.518918,3.333819,0.319909,3.720877,0.338429,0.710045,0.101831,NA,0.760883,1.169617,1.0765,0.702847,2.38746,0.133219,1.059508,1.74184,0.151502,0.312689,0.245551,0.388441,0.867484,4.955402,0.158359,0.006469,0.077623,0.51461,0.156851,1.835091,1.323191,0.150631,0.617018,0.003157,0.656625,2.426389,NA,2.58103,NA,5.90098,2.319878,0.438739,6.25626,0.850175,3e-06,0.023015,1.498002,1.235834,1.135693,0.446337,2.697825,0.216316,0.8606,0.235913,0.003791,NA,0.004734,NA,0.045148,0.384668,0.884688,2.350355,0.001823,3.324002,4.642309,0.069519,0.049319,0.296211,2.898561,NA,1.969455,1.454698,NA,1.454374,1.247123,3.62556,NA,0.117635,0.561553,NA,NA,0.258607,0.207461,NA,0.089131,0.097342,0.453483,0.572704,0.186829,1.540362,5.000287,0.000471,0.027016,0.091418,0.108353,1.090982,0.011655,0.449838,0.290002,0.401964,0.064611,0.535491,0.518146,0.087742,0.538898,0.421616,0.004569,495.273865,3.564829,6.397397,8.456521,0.038895,0.797714,0.118429
"2",1985-01-03,1.020462,0.02392,14.4375,2.073196,0.012681,1.206857,2.550616,0.246229,0.009888,2.766996,0.75953,42.107582,0.024718,0.08692,2.043083,3.790897,0.947385,3.6e-05,1.919638,0.022964,0.16193,1.271433,5.197002,0.394301,0.294528,NA,0.42987,2.522599,0.000503,0.351819,0.03667,0.336083,0.801918,0.505405,NA,0.025876,3.066871,0.335163,0.428736,0.851205,0.636377,0.478632,0.262356,0.243276,0.332709,0.985866,0.008498,0.009547,0.474313,0.70604,15.170734,0.349362,1.851393,0.047389,0.011105,0.193534,0.715614,0.456273,0.498061,1.761877,23.030884,0.311293,0.004509,0.305764,0.390524,0.079911,0.383808,NA,0.428414,1.560106,0.571512,1.912158,NA,2.031426,0.474425,0.060352,0.158349,1.914819,0.636557,3.273104,0.245461,0.369992,2.910137,0.370236,0.070179,0.204809,2.212775,7.733389,0.183259,0.295537,0.492577,4.167117,0.008059,0.012813,0.279829,0.015513,0.04195,2.619734,5.393043,2.852756,0.890234,0.645767,1.755708,NA,1.05626,0.538249,2.883341,0.217614,1.182561,0.000526,0.950746,0.138015,3.320907,0.885332,0.289399,0.087579,0.300869,4.481571,3.279039,0.317539,3.70381,0.369195,0.710045,0.100402,NA,0.760883,1.182541,1.090391,0.708367,2.35073,0.133219,1.074571,1.715449,0.150492,0.309593,0.260243,0.389938,0.853714,4.927082,0.154497,0.006469,0.077199,0.51461,0.15448,1.835091,1.306856,0.152477,0.62456,0.003114,0.645167,2.370481,NA,2.801119,NA,5.966303,2.331714,0.442277,6.34346,0.84307,3e-06,0.02252,1.512268,1.256262,1.123534,0.446337,2.746002,0.2146,0.837129,0.22936,0.003807,NA,0.004747,NA,0.045775,0.381528,0.889954,2.387663,0.001773,3.324002,4.695362,0.069055,0.049319,0.291999,2.898561,NA,1.969455,1.442774,NA,1.387396,1.236088,3.452915,NA,0.11685,0.561553,NA,NA,0.258607,0.207461,NA,0.08767,0.097342,0.441593,0.577285,0.188575,1.522111,5.416976,0.000471,0.027269,0.091418,0.105024,1.118256,0.011767,0.458488,0.288016,0.400073,0.064845,0.527702,0.518146,0.087986,0.534416,0.421616,0.004768,498.428253,3.724448,6.451615,8.433605,0.038235,0.792951,0.118429
"3",1985-01-04,1.018829,0.02392,14.5,2.066095,0.012887,1.155227,2.550616,0.248333,0.00995,2.750525,0.749196,41.792183,0.024718,0.08692,2.043083,3.742297,0.938247,3.7e-05,1.849407,0.022964,0.160388,1.271433,5.038987,0.394301,0.295168,NA,0.428488,2.453351,0.000508,0.349306,0.036409,0.339284,0.801918,0.50698,NA,0.025876,3.080908,0.336005,0.4176,0.831049,0.636377,0.48057,0.262356,0.243276,0.331323,0.985866,0.008344,0.009466,0.474313,0.70604,15.170734,0.354041,1.851393,0.047294,0.011105,0.194744,0.720838,0.445613,0.516938,1.754535,22.856407,0.310159,0.004485,0.304771,0.394536,0.079911,0.380623,NA,0.426543,1.605326,0.56889,1.896612,NA,2.013914,0.470151,0.060932,0.159086,1.904412,0.629626,3.243614,0.2446,0.369992,2.910137,0.364065,0.070179,0.203658,2.239117,7.790674,0.181693,0.295537,0.488058,4.181292,0.007989,0.01319,0.277808,0.015444,0.041372,2.557607,5.419225,2.827622,0.886186,0.636839,1.763408,NA,1.076836,0.53119,2.807062,0.214414,1.186908,0.00052,0.941142,0.136997,3.28481,0.891656,0.294661,0.088069,0.306242,4.472237,3.310341,0.317539,3.618469,0.384578,0.710045,0.102188,NA,0.741515,1.195466,1.086918,0.697327,2.332365,0.132792,1.059508,1.636274,0.151502,0.315785,0.265489,0.38919,0.838887,4.856295,0.156814,0.006404,0.077199,0.504617,0.153464,1.785044,1.306856,0.151222,0.627578,0.003062,0.639879,2.281029,NA,2.841135,NA,5.90098,2.319878,0.442277,6.321661,0.831229,3e-06,0.02252,1.540801,1.205194,1.135693,0.446337,2.72673,0.2146,0.782364,0.226084,0.003774,NA,0.004747,NA,0.045148,0.376818,0.887321,2.359682,0.001773,3.273255,4.668834,0.06921,0.049854,0.290595,2.898561,NA,2.025324,1.436812,NA,1.382613,1.241606,3.374439,NA,0.114498,0.555172,NA,NA,0.258607,0.207461,NA,0.089131,0.096204,0.44499,0.568122,0.185083,1.48196,5.625325,0.000467,0.027269,0.091418,0.104655,1.090982,0.011822,0.493091,0.288016,0.400073,0.064845,0.527702,0.519834,0.088231,0.532176,0.418243,0.004594,485.809723,3.830861,6.397397,8.158597,0.038235,0.792951,0.118429
"4",1985-01-07,1.028626,0.024218,14.3125,2.080296,0.013025,1.168135,2.616016,0.252542,0.009872,2.783465,0.746613,41.319061,0.024846,0.08692,2.06517,3.693695,0.9352,3.8e-05,1.919638,0.022863,0.157304,1.297033,5.021426,0.394301,0.293037,NA,0.428488,2.443458,0.000511,0.351819,0.036801,0.342485,0.79627,0.511704,NA,0.025805,3.101963,0.339374,0.412032,0.845003,0.660392,0.476694,0.263838,0.249941,0.32855,0.995485,0.008038,0.00952,0.474313,0.702646,14.943736,0.361839,1.801355,0.047578,0.01122,0.193534,0.728673,0.452009,0.522746,1.761877,23.205364,0.310159,0.004436,0.306757,0.397211,0.081338,0.380623,NA,0.435897,1.627936,0.581999,1.912158,NA,2.048939,0.465877,0.060497,0.159086,1.894008,0.630781,3.096177,0.241155,0.367189,2.935443,0.370236,0.070179,0.205384,2.26546,7.790674,0.182476,0.295537,0.492577,4.209638,0.008012,0.01319,0.275788,0.015616,0.040639,2.588671,5.497767,2.789919,0.861908,0.639815,1.736456,NA,1.083695,0.53119,2.807062,0.217614,1.199951,0.00052,0.941142,0.137506,3.230664,0.872684,0.294661,0.089296,0.314301,4.495574,3.318166,0.319909,3.58433,0.361503,0.692727,0.102188,NA,0.749816,1.247161,1.090391,0.695487,2.332365,0.132365,1.06955,1.477925,0.153522,0.318881,0.265489,0.387693,0.847248,4.714711,0.154497,0.006469,0.076775,0.504617,0.15448,1.794438,1.355863,0.151222,0.635121,0.003003,0.637235,2.191576,NA,2.781111,NA,5.922749,2.272532,0.442277,6.365257,0.838334,3e-06,0.023015,1.526535,1.2103,1.145421,0.446337,2.72673,0.2146,0.751069,0.226084,0.003791,NA,0.004773,NA,0.046402,0.375248,0.876789,2.359682,0.001773,3.374752,4.668834,0.070137,0.049497,0.296211,2.898561,NA,2.044372,1.424888,NA,1.363475,1.247123,3.374439,NA,0.116066,0.574315,NA,NA,0.258607,0.207461,NA,0.090592,0.096825,0.448388,0.565832,0.188575,1.452758,5.416976,0.000467,0.027521,0.097315,0.105024,1.118256,0.01199,0.493091,0.291989,0.399444,0.063675,0.525755,0.531649,0.087253,0.538898,0.421616,0.004668,488.964447,4.043687,6.397397,8.18151,0.037576,0.788188,0.118429
"5",1985-01-08,1.018829,0.024069,13.4375,2.073196,0.013025,1.174589,2.687688,0.253594,0.009888,2.766996,0.749196,41.003632,0.024973,0.082463,2.020996,3.790897,0.947385,3.8e-05,1.919638,0.022661,0.157304,1.297033,5.126772,0.394301,0.292504,NA,0.431253,2.443458,0.000509,0.349306,0.036801,0.348886,0.79627,0.513278,NA,0.025734,3.087926,0.341058,0.406464,0.83725,0.696413,0.465068,0.263838,0.249941,0.32855,0.985866,0.008115,0.009439,0.474313,0.70604,14.830244,0.361839,1.801355,0.047673,0.011162,0.195953,0.731284,0.452009,0.511129,1.769217,23.379841,0.310726,0.00446,0.306757,0.390524,0.079911,0.377437,NA,0.432156,1.627936,0.589863,1.896612,NA,2.066451,0.465877,0.060642,0.159822,1.883599,0.627315,3.155153,0.235126,0.369992,2.935443,0.364065,0.070179,0.205384,2.239117,7.704749,0.180909,0.295537,0.494837,4.280508,0.008105,0.012939,0.276798,0.01565,0.040848,2.630089,5.523943,2.777352,0.857861,0.660646,1.740306,NA,1.076836,0.538249,2.868086,0.219214,1.199951,0.00052,0.947545,0.139543,3.194567,0.866361,0.297291,0.08856,0.303555,4.472237,3.357297,0.322278,3.618469,0.369195,0.701386,0.10326,NA,0.752583,1.256854,1.093863,0.699167,2.313999,0.133219,1.089636,1.398751,0.153522,0.315785,0.26444,0.389938,0.841674,4.700552,0.154497,0.006469,0.077199,0.512112,0.15448,1.802822,1.40487,0.151222,0.639646,0.003048,0.638116,2.023854,NA,2.781111,NA,5.792102,2.343549,0.435201,6.387057,0.831229,3e-06,0.023509,1.501372,1.164339,1.160013,0.446337,2.553299,0.2146,0.782364,0.22936,0.003807,NA,0.0048,NA,0.045775,0.373677,0.866257,2.378335,0.001784,3.349378,4.642309,0.070446,0.049497,0.296211,2.898561,NA,2.082468,1.43085,NA,1.320419,1.25816,3.17825,NA,0.11685,0.574315,NA,NA,0.258607,0.202041,NA,0.093149,0.096411,0.458578,0.554377,0.188575,1.387056,5.29197,0.000456,0.027774,0.109111,0.105394,1.090982,0.012045,0.458488,0.28603,0.396924,0.063206,0.529649,0.533337,0.084809,0.542259,0.423302,0.004644,488.964447,4.096893,6.397397,8.250266,0.036752,0.785808,0.119376
"6",1985-01-09,1.026993,0.024024,14.1875,2.073196,0.013094,1.187496,2.687688,0.255699,0.009966,2.816407,0.764696,41.240204,0.025101,0.084692,2.032039,3.693695,0.944339,3.9e-05,1.896227,0.023268,0.160388,1.297033,5.249676,0.391016,0.292504,NA,0.435399,2.423673,0.000512,0.353076,0.037584,0.336083,0.79627,0.516427,NA,0.025306,3.130035,0.347795,0.412032,0.845003,0.696413,0.472819,0.259391,0.246609,0.332709,0.978652,0.008115,0.009439,0.472748,0.702646,15.132902,0.363399,1.801355,0.048336,0.011105,0.194744,0.757402,0.447745,0.514034,1.783899,23.379841,0.312427,0.004509,0.310231,0.394536,0.081338,0.375845,NA,0.434026,1.644894,0.58462,1.912158,NA,2.083963,0.474425,0.060932,0.159086,1.894008,0.630781,3.214128,0.232542,0.369992,2.935443,0.36098,0.070179,0.205959,2.186435,7.532897,0.180909,0.302925,0.492577,4.323028,0.008197,0.013064,0.277808,0.015823,0.041267,2.6508,5.497767,2.802487,0.890234,0.660646,1.778809,NA,1.083695,0.541779,2.883341,0.219214,1.186908,0.000522,0.950746,0.141071,3.28481,0.866361,0.299922,0.089787,0.308928,4.495574,3.396426,0.321093,3.652603,0.369195,0.718704,0.104332,NA,0.752583,1.253623,1.111226,0.691807,2.35073,0.132365,1.099679,1.451534,0.153522,0.321977,0.260243,0.39368,0.841674,4.686393,0.158359,0.006534,0.077199,0.519606,0.155158,1.794438,1.40487,0.15004,0.653224,0.003033,0.646048,1.934402,NA,2.821128,NA,5.879203,2.355386,0.435201,6.387057,0.833597,3e-06,0.024004,1.487072,1.225621,1.186763,0.448219,2.505123,0.215458,0.7941,0.22936,0.003841,NA,0.004826,NA,0.046402,0.361117,0.871523,2.359682,0.001795,3.400126,4.642309,0.069828,0.049497,0.296211,2.898561,NA,2.082468,1.43085,NA,1.349123,1.25816,3.139013,NA,0.11685,0.583887,NA,NA,0.258607,0.195848,NA,0.096437,0.097445,0.455181,0.554377,0.192067,1.405307,5.416976,0.000456,0.028111,0.109111,0.108353,1.118256,0.012045,0.47579,0.289009,0.400704,0.063675,0.523808,0.529961,0.086031,0.551222,0.424989,0.004768,498.428253,4.203305,6.370294,8.433605,0.036752,0.79057,0.117481
"7",1985-01-10,1.031891,0.025,15,2.129996,0.013646,1.210085,2.622135,0.256751,0.009966,2.849347,0.793114,42.423008,0.026502,0.084692,2.054126,3.645094,0.95957,3.9e-05,1.896227,0.024279,0.165015,1.322633,5.302343,0.38773,0.29357,NA,0.447839,2.463243,0.000515,0.361871,0.038497,0.342485,0.79627,0.519576,NA,0.025306,3.207234,0.349479,0.428736,0.851205,0.672399,0.465068,0.260874,0.253274,0.336868,0.976249,0.008038,0.00952,0.472748,0.702646,15.3599,0.372757,1.951467,0.04881,0.011508,0.197163,0.77046,0.454141,0.51839,1.791241,25.299086,0.314695,0.004558,0.315691,0.402561,0.079911,0.380623,NA,0.439639,1.724029,0.597728,1.927705,NA,2.118989,0.508618,0.062528,0.161295,1.904412,0.637712,3.273104,0.232542,0.364386,2.986056,0.370236,0.070179,0.20826,2.199604,7.876601,0.179343,0.302925,0.495967,4.365553,0.008522,0.01319,0.28488,0.016202,0.040848,2.702572,5.602485,2.953293,0.906419,0.681477,1.78266,NA,1.05626,0.541779,2.990131,0.224014,1.217341,0.000526,0.971553,0.14871,3.50139,0.875846,0.315708,0.089787,0.32236,4.62162,3.380774,0.322278,3.686742,0.361503,0.701386,0.107548,NA,0.777484,1.263316,1.149424,0.697327,2.42419,0.131511,1.149892,1.504317,0.153522,0.340553,0.260243,0.39368,0.86397,4.884608,0.170332,0.006567,0.077199,0.542089,0.159223,1.836364,1.437542,0.151222,0.651715,0.003048,0.659269,1.967946,NA,2.881151,NA,6.118727,2.343549,0.428124,6.430649,0.835965,3e-06,0.024499,1.558566,1.235834,1.213513,0.450102,2.553299,0.216316,0.825394,0.23919,0.00394,NA,0.004958,NA,0.046402,0.354836,0.863624,2.424968,0.001852,3.400126,4.748419,0.069364,0.049497,0.294806,2.918831,NA,2.126909,1.454698,NA,1.416101,1.313342,3.217488,NA,0.118419,0.580697,NA,NA,0.271937,0.205911,NA,0.097168,0.101686,0.461975,0.56125,0.192067,1.430857,5.458647,0.00046,0.028447,0.11206,0.111311,1.118256,0.011934,0.467139,0.300927,0.401964,0.064143,0.525755,0.541776,0.086276,0.564667,0.428362,0.004743,495.273865,4.256513,6.614265,8.594028,0.036917,0.792951,0.117481
"8",1985-01-11,1.044953,0.024775,15.25,2.122895,0.014335,1.203631,2.578433,0.255699,0.010028,2.832876,0.798281,42.186462,0.02663,0.08692,2.142476,3.790897,0.962616,4.1e-05,1.919638,0.024077,0.167328,1.331166,5.179443,0.391016,0.293037,NA,0.454751,2.542383,0.000515,0.364384,0.03915,0.336083,0.79627,0.516427,NA,0.025734,3.263378,0.347795,0.423168,0.840352,0.70842,0.455379,0.266803,0.253274,0.336868,0.981057,0.007962,0.009682,0.472748,0.702646,15.170734,0.371197,2.051543,0.048621,0.011335,0.197163,0.765237,0.452009,0.514034,1.776558,25.648039,0.315829,0.004583,0.320159,0.414597,0.079911,0.388585,NA,0.439639,1.673156,0.602971,1.896612,NA,2.101475,0.521441,0.061512,0.162768,1.914819,0.646955,3.273104,0.231681,0.379802,2.986056,0.370236,0.070179,0.20711,2.199604,7.933885,0.181693,0.302925,0.499356,4.337204,0.008545,0.013441,0.2869,0.015995,0.040325,2.723282,5.602485,2.928158,0.886186,0.684453,1.778809,NA,1.097412,0.555897,2.990131,0.220814,1.212994,0.000526,0.955548,0.146163,3.573584,0.879008,0.318339,0.091994,0.327732,4.584274,3.341644,0.329387,3.635538,0.353812,0.727363,0.106119,NA,0.77195,1.266547,1.166787,0.702847,2.38746,0.130657,1.13985,1.530708,0.152512,0.343649,0.259193,0.390687,0.844462,4.927082,0.165311,0.006632,0.077199,0.547085,0.159223,1.853134,1.470213,0.151813,0.659259,0.003048,0.653981,1.956764,NA,2.861141,NA,6.053401,2.355386,0.438739,6.474247,0.833597,3e-06,0.024252,1.572865,1.266475,1.208651,0.450102,2.572571,0.223183,0.81757,0.23919,0.003841,NA,0.005063,NA,0.051418,0.353267,0.863624,2.434296,0.001829,3.374752,4.695362,0.068901,0.049497,0.291999,2.9391,NA,2.145956,1.448736,NA,1.377828,1.324379,3.256726,NA,0.117635,0.587078,NA,NA,0.271937,0.207461,NA,0.097533,0.101583,0.458578,0.586449,0.195559,1.449108,5.458647,0.000459,0.028447,0.11206,0.111681,1.14553,0.011934,0.458488,0.298941,0.398184,0.06344,0.521861,0.545151,0.087986,0.566907,0.428362,0.004768,498.428253,4.256513,6.804018,8.456521,0.037247,0.79057,0.117481
"9",1985-01-14,1.06128,0.025525,16.125,2.172596,0.013921,1.213311,2.600284,0.256751,0.01009,2.832876,0.790531,41.555603,0.027649,0.084692,2.175607,3.8881,0.971755,4e-05,1.919638,0.024785,0.171183,1.390898,5.28479,0.391016,0.294635,NA,0.453368,2.532491,0.000528,0.375693,0.043203,0.345685,0.79627,0.52115,NA,0.025662,3.368648,0.346111,0.434304,0.838801,0.702416,0.46511,0.265321,0.249941,0.345186,0.981057,0.008268,0.009872,0.472748,0.709435,15.3599,0.377435,2.001505,0.048526,0.01145,0.197163,0.765237,0.46267,0.511129,1.783899,25.822512,0.3232,0.00473,0.331078,0.425297,0.079911,0.401326,NA,0.44151,1.661851,0.613458,1.927705,NA,2.127744,0.538537,0.064414,0.163505,1.935633,0.660818,3.155153,0.234265,0.385408,2.960749,0.373321,0.070179,0.209986,2.186435,8.13438,0.181693,0.299231,0.517432,4.478942,0.008892,0.013693,0.288928,0.016409,0.040848,2.702572,5.602485,3.003564,0.890234,0.702308,1.786508,NA,1.083695,0.554132,3.06641,0.224014,1.217341,0.001226,0.973154,0.149728,3.62773,0.869522,0.319654,0.093221,0.333105,4.658967,3.372949,0.324648,3.652603,0.369195,0.710045,0.107905,NA,0.783018,1.318243,1.187623,0.734125,2.49765,0.130657,1.205128,1.636274,0.153522,0.346745,0.270736,0.398919,0.855609,5.040352,0.167242,0.006632,0.077199,0.549583,0.157868,1.995681,1.519221,0.152477,0.669818,0.003092,0.668082,2.146851,NA,2.90116,NA,6.271145,2.367222,0.442277,6.583243,0.840702,3e-06,0.024252,1.630061,1.266475,1.223241,0.45375,2.601475,0.2249,0.801923,0.23919,0.003907,NA,0.005195,NA,0.051418,0.361117,0.882055,2.508812,0.001874,3.400126,4.695362,0.070495,0.049854,0.291999,2.918831,NA,2.222144,1.478546,NA,1.416101,1.357489,3.452915,NA,0.118419,0.615794,NA,NA,0.274603,0.211331,NA,0.099359,0.102617,0.472166,0.604775,0.195559,1.452758,5.37531,0.000453,0.028952,0.115009,0.112421,1.227354,0.01238,0.467139,0.321202,0.401964,0.064143,0.521861,0.548526,0.087986,0.582593,0.431735,0.004768,498.428253,4.309719,6.939554,8.502356,0.037906,0.800095,0.118429
"10",1985-01-15,1.069444,0.025675,16.3125,2.158397,0.013852,1.181042,2.643986,0.255699,0.010106,2.832876,0.793114,41.713314,0.027139,0.08692,2.230825,3.985302,0.971755,4.1e-05,1.919638,0.024279,0.17581,1.416497,5.337462,0.391016,0.295168,NA,0.453368,2.621524,0.000548,0.378206,0.043931,0.339284,0.79627,0.514853,NA,0.025591,3.333558,0.344426,0.456576,0.841902,0.720428,0.467056,0.269767,0.253274,0.345186,0.976249,0.008191,0.009872,0.474313,0.709435,14.75457,0.371197,2.101581,0.048336,0.011335,0.199582,0.77046,0.492519,0.511129,1.783899,26.869373,0.3215,0.004828,0.335546,0.423959,0.082765,0.407696,NA,0.44151,1.673156,0.602971,1.927705,NA,2.136499,0.534263,0.065429,0.163505,1.904412,0.670061,3.155153,0.239433,0.388211,2.960749,0.376406,0.070179,0.209986,2.186435,8.191667,0.182476,0.299231,0.525341,4.478942,0.0088,0.014069,0.288421,0.01634,0.041058,2.723282,5.65484,3.066399,0.878094,0.699332,1.79036,NA,1.097412,0.548837,3.035898,0.222414,1.217341,0.001251,0.982758,0.151256,3.62773,0.879008,0.3236,0.090768,0.335791,4.6543,3.333819,0.324648,3.737948,0.361503,0.714375,0.10719,NA,0.802386,1.337629,1.177205,0.732285,2.57111,0.131084,1.205128,1.715449,0.153522,0.362224,0.272835,0.397423,0.89184,5.05451,0.168787,0.00673,0.077623,0.539591,0.158206,1.920215,1.502884,0.151813,0.669818,0.00321,0.66015,2.191576,NA,2.921165,NA,6.184047,2.402731,0.445815,6.735836,0.845438,3e-06,0.024252,1.658658,1.297115,1.23297,0.457633,2.45695,0.230051,0.821482,0.242467,0.003924,NA,0.005353,NA,0.053926,0.364257,0.882055,2.499451,0.00188,3.425498,4.668834,0.070652,0.05021,0.291999,2.918831,NA,2.196749,1.508354,NA,1.444805,1.340934,3.727578,NA,0.118419,0.631747,NA,NA,0.279935,0.215975,NA,0.095706,0.103135,0.472166,0.602484,0.202544,1.449108,5.458647,0.000458,0.029373,0.117958,0.1139,1.254629,0.012492,0.458488,0.330437,0.400073,0.063909,0.529649,0.548526,0.087742,0.573629,0.435107,0.004892,498.428253,4.469338,6.939554,8.662779,0.037741,0.802476,0.117481
