"","Ticker","Name","Sector","Factor","Factor.Value","Factor.P","Return.2010.2017","Return.Percentile"
"294","MOS","The Mosaic Company","Materials","Intercept",-0.0182642595925132,0.0553783404273983,-0.517482290830939,0.0090293453724605
"168","FCX","Freeport-McMoRan Inc.","Materials","Intercept",-0.0179614209490926,0.260909486174673,-0.421725890299685,0.0112866817155756
"40","APA","Apache Corporation","Energy","Intercept",-0.0176228919771548,0.0437363180262041,-0.560143643861344,0.00677200902934537
"46","ARNC","Arconic Inc.","Industrials","Intercept",-0.0163786904584773,0.0766373607146197,-0.210020330375969,0.018058690744921
"138","DVN","Devon Energy Corp.","Energy","Intercept",-0.0157276905884114,0.0815791761182949,-0.399011452221233,0.0135440180586907
"41","APC","Anadarko Petroleum Corp","Energy","Intercept",-0.0153900512643346,0.0822660269993599,-0.124086397585491,0.0270880361173815
"241","JNPR","Juniper Networks","Information Technology","Intercept",-0.0146223939350074,0.0916363353997998,0.10697994111193,0.0474040632054176
"206","HES","Hess Corporation","Energy","Intercept",-0.0145703615453535,0.0470257710259716,-0.169566340157185,0.0203160270880361
"371","RRC","Range Resources Corp.","Energy","Intercept",-0.0133785281484353,0.225150807495365,-0.66789231261533,0.00451467268623025
"311","NFX","Newfield Exploration Co","Energy","Intercept",-0.0130138499722498,0.167435606752163,-0.368389377739959,0.0158013544018059
"29","AMD","Advanced Micro Devices Inc","Information Technology","Intercept",-0.0128847599187655,0.354668617063061,0.0597938144329897,0.0406320541760722
"14","AES","AES Corp","Utilities","Intercept",-0.0127706435269518,0.0252671429620193,-0.082758465464644,0.0316027088036117
"268","LUK","Leucadia National Corp.","Financials","Intercept",-0.0122486622510475,0.0413066662152318,0.201546811424749,0.0586907449209932
"317","NOV","National Oilwell Varco Inc.","Energy","Intercept",-0.0118934203531359,0.127796811753072,-0.0151105882485651,0.036117381489842
"237","IVZ","Invesco Ltd.","Financials","Intercept",-0.0118120980044421,0.0155163358627277,0.994903100938214,0.182844243792325
"61","BEN","Franklin Resources","Financials","Intercept",-0.0115741148936192,0.00583270060018116,0.448059706902643,0.0925507900677201
"213","HPQ","HP Inc.","Information Technology","Intercept",-0.0114996630168023,0.154672353673183,0.221100180009388,0.0609480812641084
"177","FLR","Fluor Corp.","Industrials","Intercept",-0.0103512158204164,0.0811537108180245,0.244239038036704,0.0699774266365688
"178","FLS","Flowserve Corporation","Industrials","Intercept",-0.0102546089305564,0.0744528436297885,0.55140181081815,0.112866817155756
"381","SLB","Schlumberger Ltd.","Energy","Intercept",-0.00987320220252788,0.128125528621375,0.181707404658016,0.054176072234763
"309","NEM","Newmont Mining Corporation","Materials","Mkt.Rf",0.0645635558096168,0.85104581011024,-0.130289641099932,0.0248306997742664
"388","SRCL","Stericycle Inc","Industrials","Mkt.Rf",0.176793277069714,0.293824781015983,0.232596047860769,0.0654627539503386
"444","WEC","Wec Energy Group Inc","Utilities","Mkt.Rf",0.187119771321352,0.165752457341948,2.71314025169982,0.62979683972912
