"","Ticker","Return.2010.2017","Name","Sector","Sec","Factor.Value","Factor.P","Factor","Return.Percentile"
"445","WELL",-1.0000435141984,"Welltower Inc.","Real Estate","RE",-0.00492530109348485,0.166482708145445,"Mkt-Rf",0.00225733634311512
"309","NEM",-0.130289641099932,"Newmont Mining Corporation","Materials","M",0.000956796385312193,0.367592690117035,"Mkt-Rf",0.0248306997742664
"388","SRCL",0.232596047860769,"Stericycle Inc","Industrials","I",0.00122493354727015,0.115355043142854,"Mkt-Rf",0.0654627539503386
"444","WEC",2.71314025169982,"Wec Energy Group Inc","Utilities","U",0.00200255695864982,0.782117763703964,"Mkt-Rf",0.62979683972912
"219","HSY",2.78889963751692,"The Hershey Company","Consumer Staples","CS",0.0020281549761632,0.858575819290423,"Mkt-Rf",0.652370203160271
"144","ED",1.61573998506983,"Consolidated Edison","Utilities","U",0.00214963179550322,0.279036050788343,"Mkt-Rf",0.340857787810384
"334","PCG",0.356562372453488,"PG&E Corp.","Utilities","U",0.00217223384127194,0.104431260230548,"Mkt-Rf",0.0790067720090293
"262","LLY",2.21218242639086,"Lilly (Eli) & Co.","Health Care","H",0.00247602755066256,0.670209356670371,"Mkt-Rf",0.503386004514673
"136","DUK",1.2421223096232,"Duke Energy","Utilities","U",0.0024973217257043,0.126051119744254,"Mkt-Rf",0.234762979683973
"51","AWK",4.032009783065,"American Water Works Company Inc","Utilities","U",0.00253893762515877,0.716403368625647,"Mkt-Rf",0.81489841986456
"132","DPS",3.1607115140733,"Dr Pepper Snapple Group","Consumer Staples","CS",0.00266010168330931,0.905281898369624,"Mkt-Rf",0.733634311512415
"457","XEL",2.12368112582356,"Xcel Energy Inc","Utilities","U",0.00281495634862066,0.38953674951574,"Mkt-Rf",0.460496613995485
"135","DTE",2.45380660183113,"DTE Energy Co.","Utilities","U",0.00287204783756589,0.590917080938867,"Mkt-Rf",0.580135440180587
"105","COO",4.77093626490066,"The Cooper Companies","Health Care","H",0.00291259853791731,0.60599356143421,"Mkt-Rf",0.871331828442438
"99","CMS",2.99879016101863,"CMS Energy","Utilities","U",0.00305981197095383,0.769749169862394,"Mkt-Rf",0.702031602708804
"188","GIS",1.194635282372,"General Mills","Consumer Staples","CS",0.00310396913746745,0.0947910583145054,"Mkt-Rf",0.221218961625282
"130","DLTR",5.68320505121019,"Dollar Tree","Consumer Discretionary","CD",0.00317165214865707,0.677982299151757,"Mkt-Rf",0.920993227990971
"119","D",1.84296943547439,"Dominion Energy","Utilities","U",0.00322186085899972,0.262497417987845,"Mkt-Rf",0.410835214446953
"54","AZO",3.50148705626455,"AutoZone Inc","Consumer Discretionary","CD",0.00327303369699327,0.794526842779445,"Mkt-Rf",0.776523702031603
"108","CPB",0.789741901367848,"Campbell Soup","Consumer Staples","CS",0.00327852995376766,0.118127115112971,"Mkt-Rf",0.151241534988713
"10","ADM",0.547603506784007,"Archer-Daniels-Midland Co","Consumer Staples","CS",-0.0105056453828394,7.19780674679963e-06,"SMB",0.110609480812641
"346","PM",2.04108042265431,"Philip Morris International","Consumer Staples","CS",-0.0102651671556399,1.42341552420707e-10,"SMB",0.446952595936795
"373","SBAC",3.64486807761547,"SBA Communications","Real Estate","RE",-0.00901731766095029,2.52871388656343e-08,"SMB",0.787810383747178
"300","MSFT",2.40134446095,"Microsoft Corp.","Information Technology","IT",-0.00900378590773684,1.47857319350008e-10,"SMB",0.571106094808126
"33","AMT",2.65756388276278,"American Tower Corp A","Real Estate","RE",-0.00861893562918234,0.000329744042107768,"SMB",0.625282167042889
"282","MDLZ",1.81507920143758,"Mondelez International","Consumer Staples","CS",-0.00834352637689111,2.4700927016649e-06,"SMB",0.404063205417607
"151","EQIX",3.77215757982579,"Equinix","Real Estate","RE",-0.00805672312639603,9.463925065268e-06,"SMB",0.794582392776524
"292","MO",4.31520761240859,"Altria Group Inc","Consumer Staples","CS",-0.0079199453682592,7.14978216621799e-06,"SMB",0.851015801354402
"47","ATVI",5.13085957458736,"Activision Blizzard","Information Technology","IT",-0.00779420525835817,2.69874531405039e-05,"SMB",0.898419864559819
"192","GOOGL",2.35810648448945,"Alphabet Inc Class A","Information Technology","IT",-0.00759656407320094,1.45507072963046e-08,"SMB",0.548532731376975
"191","GOOG",2.36084825649705,"Alphabet Inc Class C","Information Technology","IT",-0.00750961664934874,1.2241829039421e-08,"SMB",0.553047404063205
"440","VZ",1.50804101545089,"Verizon Communications","Telecommunication Services","T",-0.00731915723555776,2.12080743067824e-05,"SMB",0.309255079006772
"81","CCI",2.23765850891918,"Crown Castle International Corp.","Real Estate","RE",-0.00715107668160996,0.00110009133159797,"SMB",0.512415349887133
"145","EFX",3.16410037107107,"Equifax Inc.","Industrials","I",-0.00705798402030202,3.0633589595149e-07,"SMB",0.735891647855531
"110","CSCO",0.877537966695329,"Cisco Systems","Information Technology","IT",-0.00697632974855167,1.56055814901769e-11,"SMB",0.162528216704289
"339","PG",0.934814835341402,"Procter & Gamble","Consumer Staples","CS",-0.00659490875960535,6.58192949605226e-05,"SMB",0.171557562076749
"170","FE",-0.0219040882136053,"FirstEnergy Corp","Utilities","U",-0.00650949731534735,0.0607982874332663,"SMB",0.0338600451467269
"248","KMB",1.60293088506213,"Kimberly-Clark","Consumer Staples","CS",-0.0061220648614137,0.00209153112465612,"SMB",0.334085778781038
"159","ETR",0.441118784796265,"Entergy Corp.","Utilities","U",-0.00607277259406012,0.00294339098962325,"SMB",0.0880361173814898
"415","TWX",2.91722543294677,"Time Warner Inc.","Consumer Discretionary","CD",-0.00596666349749763,2.79871876172151e-07,"SMB",0.683972911963883
"226","INCY",8.96947357894737,"Incyte","Health Care","H",-0.023254231320193,0.0360155621393916,"HML",0.972911963882618
"361","REGN",14.2643120691966,"Regeneron","Health Care","H",-0.020201951803239,0.557667005866832,"HML",0.99548532731377
"225","ILMN",6.15188255816309,"Illumina Inc","Health Care","H",-0.0179238961750465,0.0289809519874514,"HML",0.936794582392777
"314","NKTR",5.16942159090909,"Nektar Therapeutics","Health Care","H",-0.0172293746445985,0.337911094122772,"HML",0.905191873589165
"418","UAA",3.11111111111111,"Under Armour Class A","Consumer Discretionary","CD",-0.016340671784018,0.0884991194619269,"HML",0.720090293453725
"455","WYNN",2.52771162950777,"Wynn Resorts Ltd","Consumer Discretionary","CD",-0.0161418474718311,0.743777960611578,"HML",0.602708803611738
"160","EW",4.1542242597462,"Edwards Lifesciences","Health Care","H",-0.0148303036460645,0.100902545004007,"HML",0.830699774266366
"100","CNC",8.29769557603687,"Centene Corporation","Health Care","H",-0.0147139781003323,0.522533703501577,"HML",0.963882618510158
