"","Sec","variable","value"
"1","I","Intercept",-0.0108699522018044
"2","H","Intercept",-0.0115051715634923
"3","IT","Intercept",-0.00798463699731994
"4","IT","Intercept",-0.000862599985768074
"5","I","Intercept",-0.00452897455029616
"6","IT","Intercept",-0.00496068608994788
"7","IT","Intercept",-0.0235722524730208
"8","CD","Intercept",-0.0100173720712595
"9","U","Intercept",-0.0265877054042334
"10","H","Intercept",-0.000523900564719046
"11","FI","Intercept",-0.0173115773044114
"12","FI","Intercept",-0.0133547201689102
"13","H","Intercept",-0.0136417320277143
"14","M","Intercept",-0.0139727491415141
"15","IT","Intercept",-0.00386677968265845
"16","I","Intercept",0.00219378646535886
"17","M","Intercept",-0.0134681036848828
"18","RE","Intercept",-0.0109963473649835
"19","H","Intercept",0.00109886253667868
"20","H","Intercept",-0.00251560358169817
"21","H","Intercept",-0.00140535962794422
"22","U","Intercept",-0.00128359112254369
"23","FI","Intercept",-0.00823779051510818
"24","IT","Intercept",-0.0111931577970991
"25","IT","Intercept",-0.0111799483367617
"26","CS","Intercept",-0.00339238617419787
"27","CD","Intercept",-0.000986391720191213
"28","I","Intercept",0.0132884880482105
"29","U","Intercept",-0.00534914370955231
"30","FI","Intercept",-0.011561549183067
"31","FI","Intercept",-0.0135946057750984
"32","RE","Intercept",-0.00404459707756898
"33","U","Intercept",0.00168223292748801
"34","H","Intercept",-0.00507333662419039
"35","I","Intercept",-0.00840943848645937
"36","H","Intercept",-0.00658466197286948
"37","IT","Intercept",-0.00998200350912898
"38","E","Intercept",-0.0279173932663159
"39","IT","Intercept",-0.0101262042905937
"40","E","Intercept",-0.00296235726958733
"41","IT","Intercept",-0.0109417373103356
"42","H","Intercept",-0.00208440544235416
"43","FI","Intercept",-0.00653252611212843
"44","I","Intercept",1.43150173564574e-05
"45","E","Intercept",-0.0286346050519271
"46","RE","Intercept",-0.00638429643831637
"47","IT","Intercept",-0.00340327022392595
"48","IT","Intercept",-0.00913819485057836
"49","CD","Intercept",-0.00518176653227773
"50","CS","Intercept",-0.0159689056426681
"51","I","Intercept",-0.0286451227758555
"52","FI","Intercept",-0.00781451321725784
"53","FI","Intercept",-0.00202036569055366
"54","T","Intercept",-0.0115152825085724
"55","IT","Intercept",-0.014493861486238
"56","IT","Intercept",-0.00690035299893003
"57","CD","Intercept",-0.00147038315350013
"58","RE","Intercept",-0.00767298212677335
"59","M","Intercept",-0.010980353331694
"60","E","Intercept",-0.0200801363652109
"61","M","Intercept",-0.00759343119542057
"62","FI","Intercept",-0.00894284128476026
"63","FI","Intercept",-0.00631105681468248
"64","H","Intercept",-0.00947987795008259
"65","FI","Intercept",-0.00915618152044253
"66","H","Intercept",-0.00909266761757885
"67","CD","Intercept",-0.0196195532682189
"68","H","Intercept",0.00118282857732327
"69","FI","Intercept",-0.0165259924027017
"70","FI","Intercept",-0.011043172764772
"71","I","Intercept",-0.00467261129291627
"72","CD","Intercept",0.0018802742943602
"73","CD","Intercept",-0.0136589021213467
"74","RE","Intercept",-0.0114788049681567
"75","H","Intercept",-0.00608875184638574
"76","H","Intercept",-0.00544766826715278
"77","IT","Intercept",0.00847630708408529
"78","I","Intercept",-0.0118017201381372
"79","IT","Intercept",-0.0171841536060755
"80","E","Intercept",-0.00721652208465087
"81","IT","Intercept",-0.00434412950562708
"82","CS","Intercept",-0.00972735359040311
"83","FI","Intercept",-0.00937120229685064
"84","H","Intercept",-0.00894347130249559
"85","CD","Intercept",-0.0140291941645457
"86","CD","Intercept",-0.0146513010294819
"87","I","Intercept",-0.0142904027233915
"88","FI","Intercept",0.00285682782264979
"89","CD","Intercept",-0.0118544977316775
"90","H","Intercept",-0.00806611059088536
"91","H","Intercept",0.00369466870989096
"92","U","Intercept",-0.0081163137248377
"93","T","Intercept",-0.0242973517486534
"94","H","Intercept",-0.00790694142601651
"95","M","Intercept",-0.00814339309188269
"96","FI","Intercept",-0.0111183301537801
"97","CD","Intercept",0.00472430997587312
"98","E","Intercept",-0.0184691085432201
"99","CD","Intercept",-0.00437648538501279
"100","FI","Intercept",-0.00612315575675093
"101","CS","Intercept",-0.00311863527187229
"102","H","Intercept",0.00325763203669156
"103","E","Intercept",-0.0109390207752221
"104","FI","Intercept",-0.00655285014510906
"105","I","Intercept",-0.00107033965934644
"106","IT","Intercept",-0.0187024145027631
"107","FI","Intercept",-0.0138442708347729
"108","IT","Intercept",-0.0180917340395124
"109","CS","Intercept",-0.00589434813281797
"110","FI","Intercept",-0.00619425912327316
"111","U","Intercept",-0.00149235276027514
"112","CS","Intercept",-0.0121879799337633
"113","IT","Intercept",-0.00931279442187084
"114","CS","Intercept",-0.0111097572082619
"115","CD","Intercept",-0.00560146185922119
"116","FI","Intercept",-0.006808692400675
"117","CS","Intercept",-0.0057272223228114
"118","E","Intercept",-0.00968097449317098
"119","E","Intercept",-0.0139964746864005
"120","U","Intercept",-0.00525452304619282
"121","CS","Intercept",0.0116851328617023
"122","H","Intercept",0.00384909161767463
"123","IT","Intercept",-0.0199648973335944
"124","CS","Intercept",-0.0071092614761781
"125","RE","Intercept",-0.004804668841979
"126","I","Intercept",-0.00937476356219394
"127","I","Intercept",-0.00903092972863503
"128","CS","Intercept",-0.0137728774864798
"129","CD","Intercept",-0.0066216974256008
"130","H","Intercept",-0.00766981651667187
"131","CD","Intercept",-0.00393640691399528
"132","H","Intercept",-0.00854487682393691
"133","I","Intercept",-0.00963449253260247
"134","I","Intercept",-0.000386752417331085
"135","H","Intercept",-0.019587496514062
"136","E","Intercept",-0.0260207508507606
"137","RE","Intercept",-0.00451432885679376
"138","FI","Intercept",-0.00332003541613972
"139","CD","Intercept",-0.0200513215310641
"140","CD","Intercept",-0.0176193842355593
"141","CD","Intercept",-0.0114936114368889
"142","CD","Intercept",0.00283587139861664
"143","U","Intercept",-0.00514622159548866
"144","I","Intercept",-0.0126429057684212
"145","M","Intercept",-0.0152656807491605
"146","CS","Intercept",-0.000683437413252778
"147","U","Intercept",-0.00261670744277102
"148","RE","Intercept",-0.0117952654659749
"149","U","Intercept",-0.00717092166319
"150","IT","Intercept",0.00846576244282517
"151","FI","Intercept",-0.0140878943908909
"152","M","Intercept",-0.0120179605355823
"153","I","Intercept",-0.0143926399386481
"154","IT","Intercept",-0.00726028001716729
"155","M","Intercept",-0.00791665267133147
"156","U","Intercept",-0.00733541185041934
"157","H","Intercept",0.00144566492515494
"158","IT","Intercept",0.00260679599600599
"159","I","Intercept",-0.0170446248937042
"160","U","Intercept",-0.0132796386833355
"161","E","Intercept",-0.00993807196683058
"162","E","Intercept",-0.0153318239508872
"163","I","Intercept",-0.00716631771021806
"164","RE","Intercept",-0.00384834366924334
"165","RE","Intercept",-0.00748361763827708
"166","RE","Intercept",-0.00420810011956008
"167","CS","Intercept",-0.00438746611506612
"168","U","Intercept",-0.00500349293237973
"169","FI","Intercept",-0.0067661659634485
"170","U","Intercept",-0.0156477405151797
"171","CD","Intercept",-0.0090349598583317
"172","I","Intercept",-0.0151552113471417
"173","H","Intercept",-0.0144696738524578
"174","RE","Intercept",0.00502279257267952
"175","E","Intercept",-0.0160277564679509
"176","IT","Intercept",-0.0152149779798416
"177","I","Intercept",-0.00803329394272314
"178","RE","Intercept",-0.00804201486638628
"179","I","Intercept",-0.0131275485006263
"180","IT","Intercept",-0.00448740516562912
"181","FI","Intercept",-0.00485254479106059
"182","U","Intercept",-0.015955346237154
"183","IT","Intercept",-0.00561339316787337
"184","IT","Intercept",-0.0114402064832518
"185","I","Intercept",-0.0226219516170806
"186","I","Intercept",-0.0227517642204576
"187","M","Intercept",-0.0110084790562281
"188","CD","Intercept",-0.00619509624670163
"189","CD","Intercept",-0.0201008089944398
"190","I","Intercept",-0.00153559471083501
"191","FI","Intercept",-0.0246907318237558
"192","M","Intercept",-0.0365780983891804
"193","CD","Intercept",-0.0123389949220494
"194","IT","Intercept",0.00323237319249729
"195","I","Intercept",-0.00783393004477438
"196","I","Intercept",-0.01967868338578
"197","RE","Intercept",-0.0134333993142363
"198","CS","Intercept",-0.00823073421320329
"199","CD","Intercept",-0.0214515771640974
"200","CD","Intercept",-0.00901389540606301
"201","H","Intercept",-0.00404051312955004
"202","IT","Intercept",-0.00789183977878378
"203","FI","Intercept",-0.0165754436313155
"204","CD","Intercept",-0.0160673822006758
"205","I","Intercept",-0.00987683768645296
"206","E","Intercept",-0.0164573620986739
"207","CD","Intercept",-0.004302900891431
"208","CD","Intercept",-0.017063458961851
"209","IT","Intercept",-0.00889905690873491
"210","FI","Intercept",-0.0137655454246251
"211","CD","Intercept",-0.00856546667513908
"212","H","Intercept",-0.000452119619423225
"213","RE","Intercept",-0.012870965012316
"214","E","Intercept",-0.0124414282742106
"215","H","Intercept",-0.0110420775716116
"216","CS","Intercept",-0.00101565683542625
"217","E","Intercept",-0.0265576673151105
"218","H","Intercept",-0.0101100359700587
"219","CD","Intercept",-3.71149953510575e-05
"220","I","Intercept",-0.00879763702617893
"221","CS","Intercept",-3.16123287148037e-05
"222","RE","Intercept",-0.0204106880355952
"223","IT","Intercept",-0.0233772454805565
"224","H","Intercept",0.00324357875022325
"225","FI","Intercept",-0.00163442881972618
"226","I","Intercept",0.000362027763479106
"227","H","Intercept",0.00243129228686845
"228","I","Intercept",-0.00987334632798177
"229","H","Intercept",0.013252700816924
"230","I","Intercept",-0.0117402459933223
"231","IT","Intercept",-0.0116709941999416
"232","FI","Intercept",-0.00445856983168891
"233","IT","Intercept",-0.0162422436965951
"234","H","Intercept",0.009294781628907
"235","M","Intercept",-0.016186974668778
"236","CD","Intercept",-0.0172013854760871
"237","M","Intercept",-0.00539134633728846
"238","IT","Intercept",-0.00456721274922245
"239","H","Intercept",-0.00309294182835473
"240","FI","Intercept",-0.0222508212603454
"241","IT","Intercept",0.00630987253409049
"242","RE","Intercept",-0.0082794473782141
"243","I","Intercept",-0.0185307943632701
"244","I","Intercept",-0.0076745803726685
"245","CS","Intercept",-0.00908056608060248
"246","I","Intercept",-0.00676857915696942
"247","FI","Intercept",-0.00918348066128052
"248","IT","Intercept",-0.023292012253218
"249","I","Intercept",-0.0101064115903994
"250","CS","Intercept",-0.0124791145628898
"251","FI","Intercept",-0.00383879623747833
"252","CS","Intercept",-0.00796195021345972
"253","RE","Intercept",-0.0155659746755524
"254","E","Intercept",-0.0197503905367328
"255","IT","Intercept",-0.0126785426568136
"256","CD","Intercept",-0.0171737651911486
"257","CS","Intercept",-0.00859572374597023
"258","CD","Intercept",-0.00657148839843879
"259","I","Intercept",-0.0115516613343669
"260","H","Intercept",-0.0112312163084296
"261","IT","Intercept",-0.00794805606674995
"262","CD","Intercept",-0.0115805494996159
"263","CD","Intercept",-0.00732605247009829
"264","FI","Intercept",-0.0221263787487436
"265","H","Intercept",-0.00214222042732164
"266","FI","Intercept",-0.00721631171423723
"267","CD","Intercept",-0.00594343867588721
"268","I","Intercept",-0.000344381215646934
"269","CD","Intercept",-0.00572286083811961
"270","M","Intercept",-0.00273756016684528
"271","FI","Intercept",-0.00152369597412575
"272","RE","Intercept",-0.0143026942562015
"273","CD","Intercept",-0.0163506868507636
"274","E","Intercept",-0.0214085929630599
